                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.0918,                 1.8487,                0.79189,                  1.305,                0.92182,                0.82972,                0.91949,                0.65722,                0.94146,                0.81111,                0.90579,                0.58288,                 1.0514,                 1.8487,                0.93021,                 1.3177,              0.0016832,              0.0016832,              0.0016832
                     82,                  1.109,                 1.8912,                0.79037,                 1.2877,                0.92295,                0.87778,                0.95424,                0.70973,                0.92376,                0.87037,                0.94088,                 0.6081,                0.99322,                  1.776,                 0.6679,                  1.288,              0.0016792,              0.0016792,              0.0016792
                     83,                    1.1,                 1.8539,                0.78273,                 1.2859,                0.93014,                0.88761,                0.95782,                0.71464,                0.95429,                0.85046,                0.94453,                 0.6347,                0.97371,                 1.7336,                0.64405,                 1.2652,              0.0016753,              0.0016753,              0.0016753
                     84,                 1.0833,                 1.8127,                 0.7702,                 1.2792,                 0.8542,                0.78117,                0.85704,                0.59085,                0.88382,                0.73704,                0.83029,                0.51289,                  1.217,                 2.1489,                0.90074,                 1.4637,              0.0016713,              0.0016713,              0.0016713
                     85,                  1.089,                 1.8104,                0.77595,                 1.2881,                0.94306,                0.85185,                0.94861,                0.70557,                0.93692,                0.83333,                0.92577,                0.60519,                0.98724,                 1.7999,                 0.6765,                 1.2761,              0.0016674,              0.0016674,              0.0016674
                     86,                 1.1044,                 1.8128,                0.79987,                 1.2831,                 0.9267,                0.87778,                0.95078,                0.72015,                0.93503,                 0.8529,                0.93407,                0.62125,                0.92478,                 1.7652,                0.65365,                 1.2359,              0.0016634,              0.0016634,              0.0016634
                     87,                 1.0841,                 1.8958,                0.78712,                 1.2685,                0.94167,                0.89688,                0.96498,                0.71073,                0.92856,                0.87778,                0.94412,                0.63344,                0.97398,                 1.7195,                0.62652,                 1.2665,              0.0016594,              0.0016594,              0.0016594
                     88,                 1.0988,                 1.8567,                0.77038,                 1.2656,                 0.8997,                0.89696,                0.94186,                0.68834,                0.88637,                    0.9,                0.93471,                0.61195,                  1.012,                 1.8074,                0.68606,                 1.3085,              0.0016555,              0.0016555,              0.0016555
                     89,                 1.0799,                 1.8347,                0.75758,                 1.2638,                0.92141,                0.91111,                0.95752,                0.70127,                0.93838,                0.90247,                0.95424,                0.62835,                0.96708,                 1.7711,                0.65708,                 1.2611,              0.0016515,              0.0016515,              0.0016515
                     90,                 1.0647,                 1.8051,                0.76888,                 1.2578,                0.94349,                    0.9,                0.95902,                0.71262,                0.94137,                 0.8963,                0.94995,                 0.6335,                0.95367,                 1.7138,                0.61103,                 1.2448,              0.0016476,              0.0016476,              0.0016476
                     91,                 1.0783,                 1.8328,                0.77827,                 1.2671,                 0.8865,                0.88889,                0.93959,                 0.6795,                0.94516,                0.82987,                0.93409,                0.60737,                 1.0357,                  1.838,                0.69962,                 1.3081,              0.0016436,              0.0016436,              0.0016436
                     92,                 1.0824,                 1.8743,                 0.7784,                 1.2766,                0.94157,                0.89527,                0.95856,                0.71624,                0.92736,                 0.8984,                0.94935,                0.62644,                0.95294,                 1.7317,                0.61494,                 1.2394,              0.0016396,              0.0016396,              0.0016396
